timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime
1374967294075,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,439,2,2,3,1,0,0
1374967294088,2,HTTP Request,200,OK,ThreadGroup 1-2,text,true,451,2,2,2,1,0,0
1374967294088,9,HTTP Request,200,OK,ThreadGroup 1-1,text,true,461,2,2,9,1,0,0
1374967294105,6,HTTP Request,200,OK,ThreadGroup 1-2,text,true,451,2,2,6,1,0,0
1374967294112,2,HTTP Request,200,OK,ThreadGroup 1-1,text,true,457,2,2,2,1,0,0
1374967294117,5,HTTP Request,200,OK,ThreadGroup 1-2,text,true,457,2,2,5,1,0,0
1374967294121,6,HTTP Request,200,OK,ThreadGroup 1-1,text,true,457,2,2,6,1,0,0
1374967294129,6,HTTP Request,200,OK,ThreadGroup 1-2,text,true,457,2,2,6,1,0,0
1374967294138,5,HTTP Request,200,OK,ThreadGroup 1-1,text,true,447,2,2,5,1,0,0
1374967294155,2,HTTP Request,200,OK,ThreadGroup 1-2,text,true,461,2,2,2,1,0,0
1374967294160,6,HTTP Request,200,OK,ThreadGroup 1-1,text,true,457,2,2,6,1,0,0
1374967294163,8,HTTP Request,200,OK,ThreadGroup 1-2,text,true,447,2,2,8,1,0,0
1374967294176,4,HTTP Request,200,OK,ThreadGroup 1-1,text,true,457,2,2,4,1,0,0
1374967294180,3,HTTP Request,200,OK,ThreadGroup 1-2,text,true,457,2,2,3,1,0,0
1374967294196,2,HTTP Request,200,OK,ThreadGroup 1-2,text,true,461,2,2,2,1,0,0
1374967294192,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,461,2,2,3,1,0,0
1374967294208,3,HTTP Request,200,OK,ThreadGroup 1-1,text,true,461,2,2,3,1,0,0
1374967294208,10,HTTP Request,200,OK,ThreadGroup 1-2,text,true,447,2,2,10,1,0,0
1374967294218,13,HTTP Request,200,OK,ThreadGroup 1-1,text,true,457,2,2,13,1,0,0
1374967294224,13,HTTP Request,200,OK,ThreadGroup 1-2,text,true,457,2,2,13,1,0,0
1374967294249,6,HTTP Request,200,OK,ThreadGroup 1-1,text,true,447,2,2,6,1,0,0
1374967294263,21,HTTP Request,200,OK,ThreadGroup 1-1,text,true,759991,2,2,6,1,0,0
1374967294257,45,HTTP Request,200,OK,ThreadGroup 1-2,text,true,759991,2,2,8,1,0,0
1374967294353,9,HTTP Request,200,OK,ThreadGroup 1-1,text,true,77410,2,2,7,1,0,0
1374967294376,10,HTTP Request,200,OK,ThreadGroup 1-2,text,true,77410,2,2,7,1,0,0
1374967294378,15,HTTP Request,200,OK,ThreadGroup 1-1,text,true,617290,2,2,5,1,0,0
1374967294404,14,HTTP Request,200,OK,ThreadGroup 1-2,text,true,617290,2,2,4,1,0,0
1374967294455,10,HTTP Request,200,OK,ThreadGroup 1-2,text,true,101245,2,2,6,1,0,0
1374967294447,13,HTTP Request,200,OK,ThreadGroup 1-1,text,true,400399,2,2,4,1,0,0
1374967294475,10,HTTP Request,200,OK,ThreadGroup 1-2,text,true,101245,2,2,6,1,0,0
1374967294479,9,HTTP Request,200,OK,ThreadGroup 1-1,text,true,342344,2,2,4,1,0,0
1374967294497,10,HTTP Request,200,OK,ThreadGroup 1-2,text,true,310036,2,2,5,1,0,0
1374967294523,17,HTTP Request,200,OK,ThreadGroup 1-2,text,true,208053,2,2,7,1,0,0
1374967294508,19,HTTP Request,200,OK,ThreadGroup 1-1,text,true,759991,2,2,5,1,0,0
1374967294559,11,HTTP Request,200,OK,ThreadGroup 1-1,text,true,342344,2,2,7,1,0,0
1374967294554,37,HTTP Request,200,OK,ThreadGroup 1-2,text,true,613250,2,2,7,1,0,0
1374967294592,18,HTTP Request,200,OK,ThreadGroup 1-1,text,true,342344,2,2,5,1,0,0
1374967294617,26,HTTP Request,200,OK,ThreadGroup 1-2,text,true,613250,2,2,5,1,0,0
1374967294629,15,HTTP Request,200,OK,ThreadGroup 1-1,text,true,613250,2,2,5,1,0,0
1374967294679,14,HTTP Request,200,OK,ThreadGroup 1-2,text,true,613250,2,2,6,1,0,0
1374967294685,17,HTTP Request,200,OK,ThreadGroup 1-1,text,true,400399,2,2,4,1,0,0
1374967294721,3,HTTP Request,400,Bad Request,ThreadGroup 1-2,text,false,826,2,2,3,1,1,0
1374967294723,3,HTTP Request,400,Bad Request,ThreadGroup 1-1,text,false,888,2,2,3,1,1,0
1374967294730,2,HTTP Request,400,Bad Request,ThreadGroup 1-2,text,false,848,2,2,2,1,1,0
1374967294732,2,HTTP Request,400,Bad Request,ThreadGroup 1-1,text,false,874,2,2,2,1,1,0
1374967294738,2,HTTP Request,400,Bad Request,ThreadGroup 1-2,text,false,880,2,2,2,1,1,0
1374967294741,2,HTTP Request,400,Bad Request,ThreadGroup 1-1,text,false,864,2,2,2,1,1,0
1374967294749,15,HTTP Request,200,OK,ThreadGroup 1-1,text,true,45052,2,2,15,1,0,0
1374967294747,19,HTTP Request,200,OK,ThreadGroup 1-2,text,true,43231,2,2,18,1,0,0
1374967294785,12,HTTP Request,200,OK,ThreadGroup 1-2,text,true,114360,2,2,10,1,0,0
1374967294778,16,HTTP Request,200,OK,ThreadGroup 1-1,text,true,157529,2,2,12,1,0,0
